,A,B,DNA_Cfrac,AA_Cfrac,ksize,PdN,PdS,PdN/PdS,dN/dS,ANI_approx,AAI_approx
0,ref_gene,ref_gene,1.0,1.0,15,0.0,0.0,,,1.0,1.0
1,ref_gene,negative_0.01_0,0.7753630870348776,0.8887122416534181,15,0.007834600507505063,0.0089839522349755,0.8720661355482404,0.30111700644490813,0.9943620894527759,0.9921653994924949
2,ref_gene,negative_0.01_1,0.7711226545107601,0.8763116057233704,15,0.008763609538097517,0.008414326883399825,1.0415104689344519,0.35962469106705286,0.9942409178360079,0.9912363904619025
3,ref_gene,negative_0.01_2,0.7772712816707305,0.892845786963434,15,0.007527618090357291,0.00912981011260916,0.824509819756373,0.2846962157903172,0.9944164054297173,0.9924723819096427
4,ref_gene,negative_0.01_3,0.7524647514046433,0.8391096979332273,15,0.011626143467872163,0.0071553199502768505,1.624825101974976,0.5610382639106419,0.9936999043414401,0.9883738565321278
5,ref_gene,negative_0.01_4,0.7666702003604368,0.837201907790143,15,0.011776113012114897,0.005781166901911439,2.036978556737626,0.7033513402188216,0.994112984418204,0.9882238869878851
6,ref_gene,negative_0.01_5,0.7492844270115552,0.8445151033386328,15,0.011202951521244953,0.007855536176049505,1.426121816535105,0.4924277124358883,0.9936063795048213,0.988797048478755
7,ref_gene,negative_0.01_6,0.8482985264496978,0.9065182829888712,15,0.006521580265818838,0.004386666531238093,1.4866824773156824,0.5133387926157289,0.9963506159310691,0.9934784197341812
8,ref_gene,negative_0.01_7,0.7708046220714513,0.8429252782193959,15,0.011327156688903384,0.005877807812715519,1.927105657384584,0.6654131642090267,0.9942318037177553,0.9886728433110966
9,ref_gene,negative_0.01_8,0.7610516272659811,0.8518282988871224,15,0.01063440392425219,0.007404516721132848,1.4362049982142775,0.49590934915919,0.993950503844403,0.9893655960757478
10,ref_gene,negative_0.01_9,0.7334888158592177,0.8317965023847377,15,0.012202765403029003,0.008248082392531941,1.4794669624151366,0.5108473367980516,0.9931360446475965,0.987797234596971
11,ref_gene,negative_0.01_10,0.7685783949962897,0.8597774244833069,15,0.010021561580362603,0.007372891436178919,1.3592444249465834,0.46933551892774406,0.9941679017475654,0.9899784384196374
12,ref_gene,negative_0.01_11,0.7959291847768473,0.8747217806041335,15,0.008883599449925339,0.006217554448143203,1.4287931893508898,0.49335011470860324,0.9949407289767676,0.9911164005500747
13,ref_gene,negative_0.01_12,0.7677303084914662,0.8572337042925279,15,0.010217093707440283,0.007249680183949669,1.4093164730301178,0.48662497050815723,0.9941435105234216,0.9897829062925597
14,ref_gene,negative_0.01_13,0.8143750662567582,0.89697933227345,15,0.007221959285663049,0.0063737230850458015,1.1330833155596924,0.3912440147896696,0.9954474112646526,0.992778040714337
15,ref_gene,negative_0.01_14,0.78628220078448,0.8712241653418124,15,0.009148295354640124,0.006753220207747934,1.3546567523659798,0.4677514346734549,0.9946711485957713,0.9908517046453599
16,ref_gene,negative_0.01_15,0.7302024806530266,0.837201907790143,15,0.011776113012114897,0.0089679341742821,1.3131355319139146,0.4534145110196028,0.9930369460162708,0.9882238869878851
17,ref_gene,negative_0.01_16,0.7544789568535991,0.8623211446740858,15,0.009826568640578848,0.008780010738200006,1.1191977929850911,0.38644946215180276,0.9937589370384546,0.9901734313594212
18,ref_gene,negative_0.01_17,0.7876603413548182,0.9017488076311606,15,0.00687090541101798,0.00891571349093534,0.7706512123795445,0.2660992975480938,0.9947098574403331,0.993129094588982
19,ref_gene,negative_0.01_18,0.8365313261952719,0.8880763116057234,15,0.007881946809987439,0.003946955744468794,1.996968631085637,0.6895362537829329,0.9960413825074351,0.9921180531900126
20,ref_gene,negative_0.01_19,0.7941270009540973,0.8569157392686805,15,0.010241573288910732,0.005008408508651141,2.044875786633663,0.7060781864161078,0.9948906113433501,0.9897584267110893
21,ref_gene,negative_0.01_20,0.7741969680907452,0.8693163751987282,15,0.009293093264863828,0.007624106764038352,1.2189091197801438,0.4208789337357447,0.9943288319759214,0.9907069067351362
22,ref_gene,negative_0.01_21,0.7899925792430827,0.8635930047694753,15,0.009729273405262862,0.005863331750869727,1.6593421315141663,0.5729567001192413,0.9947752141030303,0.9902707265947371
23,ref_gene,negative_0.01_22,0.7241598643061592,0.8120826709062003,15,0.013781035498064753,0.007505349102292169,1.836161824085699,0.6340110334286942,0.9928535889339986,0.9862189645019352
24,ref_gene,negative_0.01_23,0.7586133785646136,0.8578696343402226,15,0.01016815995792475,0.0080808079710184,1.25830981188918,0.4344836570200308,0.9938796281597938,0.9898318400420753
25,ref_gene,negative_0.01_24,0.7642319516590692,0.8769475357710652,15,0.00871567045439392,0.009050217382354231,0.963034376542977,0.3325275649946602,0.9940426174576378,0.9912843295456061
26,ref_gene,negative_0.01_25,0.7730308491466129,0.816852146263911,15,0.013395943045573566,0.003620043047183441,3.700492748558949,1.277748617215422,0.9942955254827206,0.9866040569544264
